fullcategory,category,category_full,Gene.Name,Gene.Full.Name,A..ocellaris.Gene.ID,gene
digestion (digestive enzyme: carbohydrase),digestion,digestion,si,Sucrase-Isomaltase,111579782,XP_054868276.1
digestion (digestive enzyme: carbohydrase),digestion,digestion,treh,Trehalase,111577342,XP_023139342.1
digestion (digestive enzyme: carbohydrase),digestion,digestion,treh,Trehalase,111577342,XP_054868149.1
digestion (digestive enzyme: lipase),digestion,digestion,cel1,Carboxyl Ester Lipase 1,111567072,XP_054861684.1
digestion (digestive enzyme: lipase),digestion,digestion,cel2,Carboxyl Ester Lipase 2,111582678,XP_023147261.1
digestion (digestive enzyme: lipase),digestion,digestion,cel3,Carboxyl Ester Lipase 3,111571548,XP_023130532.2
digestion (digestive enzyme: lipase),digestion,digestion,cel3,Carboxyl Ester Lipase 3,111571548,XP_023130533.2
digestion (digestive enzyme: lipase),digestion,digestion,cel4,Carboxyl Ester Lipase 4,111571549,XP_023130536.2
digestion (digestive enzyme: lipase),digestion,digestion,lipc,"Lipase C, Hepatic Type",111578413,XP_023140976.1
digestion (digestive enzyme: lipase),digestion,digestion,pla2g1b,Phospholipase A2 Group IB,111586177,XP_023151637.2
digestion (digestive enzyme: lipase),digestion,digestion,pla2g4a,Phospholipase A2 Group IVA,111585764,XP_023151129.1
digestion (digestive enzyme: lipase),digestion,digestion,pla2g4a,Phospholipase A2 Group IVA,111585764,XP_023151130.1
digestion (digestive enzyme: lipase),digestion,digestion,pla2g6,Phospholipase A2 Group VI,111588208,XP_054866245.1
digestion (digestive enzyme: lipase),digestion,digestion,pla2g6,Phospholipase A2 Group VI,111588208,XP_054866246.1
digestion (digestive enzyme: lipase),digestion,digestion,pla2g7,Phospholipase A2 Group VII,111563598,XP_023118497.2
digestion (digestive enzyme: lipase),digestion,digestion,pla2g7,Phospholipase A2 Group VII,111563598,XP_023118498.1
digestion (digestive enzyme: lipase),digestion,digestion,pla2g12a,Phospholipase A2 Group XIIA,111579352,XP_023142413.2
digestion (digestive enzyme: lipase),digestion,digestion,pla2g12a,Phospholipase A2 Group XIIA,111579352,XP_023142494.2
digestion (digestive enzyme: lipase),digestion,digestion,pla2g12b,Phospholipase A2 Group XIIB,111576104,XP_023137397.1
digestion (digestive enzyme: lipase),digestion,digestion,pla2g12b,Phospholipase A2 Group XIIB,111576104,XP_023137398.1
digestion (digestive enzyme: lipase),digestion,digestion,pla2g15,Phospholipase A2 Group XV,111582927,XP_023147580.2
digestion (digestive enzyme: lipase),digestion,digestion,plbd1a,Phospholipase B Domain Containing 1a,111583576,XP_023148514.2
digestion (digestive enzyme: lipase),digestion,digestion,plbd1b,Phospholipase B Domain Containing 1b,111580819,XP_023144495.2
digestion (digestive enzyme: lipase),digestion,digestion,plbd2,Phospholipase B Domain Containing 2,111568299,XP_023125654.1
digestion (digestive enzyme: lipase),digestion,digestion,pld1a,Phospholipase D1 a,111569664,XP_023127707.2
digestion (digestive enzyme: lipase),digestion,digestion,pld1a,Phospholipase D1 a,111569664,XP_023127699.2
digestion (digestive enzyme: lipase),digestion,digestion,pld1b,Phospholipase D1 b,111583755,XP_023148749.1
digestion (digestive enzyme: lipase),digestion,digestion,pld1b,Phospholipase D1 b,111583755,XP_054863198.1
digestion (digestive enzyme: lipase),digestion,digestion,pnlip,Pancreatic Lipase,111586638,XP_023152172.2
digestion (digestive enzyme: lipase),digestion,digestion,pnpla2,Patatin Like Phospholipase Domain Containing 2,111577265,XP_023139200.2
digestion (digestive enzyme: lipase),digestion,digestion,pnpla2,Patatin Like Phospholipase Domain Containing 2,111577265,XP_023139201.1
digestion (digestive enzyme: lipase),digestion,digestion,pnpla3a,Patatin Like Phospholipase Domain Containing 3a,111580511,XP_023144044.2
digestion (digestive enzyme: lipase),digestion,digestion,pnpla3b,Patatin Like Phospholipase Domain Containing 3b,111564028,XP_023119126.2
digestion (digestive enzyme: lipase),digestion,digestion,pnpla7a,Patatin Like Phospholipase Domain Containing 7a,111582244,XP_023146595.2
digestion (digestive enzyme: lipase),digestion,digestion,pnpla7a,Patatin Like Phospholipase Domain Containing 7a,111582244,XP_054875256.1
digestion (digestive enzyme: lipase),digestion,digestion,pnpla7b,Patatin Like Phospholipase Domain Containing 7b,111587604,XP_023153389.2
digestion (digestive enzyme: lipase),digestion,digestion,pnpla7b,Patatin Like Phospholipase Domain Containing 7b,111587604,XP_035798520.2
digestion (digestive enzyme: lipase),digestion,digestion,pnpla8a,Patatin Like Phospholipase Domain Containing 8a,111567056,XP_054865351.1
digestion (digestive enzyme: lipase),digestion,digestion,pnpla8a,Patatin Like Phospholipase Domain Containing 8a,111567056,XP_023123685.2
digestion (digestive enzyme: lipase),digestion,digestion,pnpla8b,Patatin Like Phospholipase Domain Containing 8b,111580534,XP_023144080.2
digestion (digestive enzyme: lipase),digestion,digestion,pnpla8b,Patatin Like Phospholipase Domain Containing 8b,111580534,XP_023144081.2
digestion (digestive enzyme: protease),digestion,digestion,anpep,"Alanyl Aminopeptidase, Membrane",111578088,XP_023140452.2
digestion (digestive enzyme: protease),digestion,digestion,anpep,"Alanyl Aminopeptidase, Membrane",111578088,XP_023140454.2
digestion (digestive enzyme: protease),digestion,digestion,anpep,"Alanyl Aminopeptidase, Membrane",111587407,XP_035798402.2
digestion (digestive enzyme: protease),digestion,digestion,anpep,"Alanyl Aminopeptidase, Membrane",111587407,XP_023153117.2
digestion (digestive enzyme: protease),digestion,digestion,anpep,"Alanyl Aminopeptidase, Membrane",129348564,XP_054865024.1
digestion (digestive enzyme: protease),digestion,digestion,anpep,"Alanyl Aminopeptidase, Membrane",111567889,XP_054865419.1
digestion (digestive enzyme: protease),digestion,digestion,anpep,"Alanyl Aminopeptidase, Membrane",111578069,XP_054865022.1
digestion (digestive enzyme: protease),digestion,digestion,anpep,"Alanyl Aminopeptidase, Membrane",111578069,XP_054865023.1
digestion (digestive enzyme: protease),digestion,digestion,anpep,"Alanyl Aminopeptidase, Membrane",111578062,XP_023140417.2
digestion (digestive enzyme: protease),digestion,digestion,cela1,Chymotrypsin Like Elastase 1,111576043,XP_023137305.2
digestion (digestive enzyme: protease),digestion,digestion,cela1,Chymotrypsin Like Elastase 1,111576043,XP_023137306.2
digestion (digestive enzyme: protease),digestion,digestion,cela1,Chymotrypsin Like Elastase 1,111576044,XP_023137307.2
digestion (digestive enzyme: protease),digestion,digestion,cela1,Chymotrypsin Like Elastase 1,111576044,XP_023137308.2
digestion (digestive enzyme: protease),digestion,digestion,cela1,Chymotrypsin Like Elastase 1,111576047,XP_023137311.2
digestion (digestive enzyme: protease),digestion,digestion,cela1,Chymotrypsin Like Elastase 1,111567975,XP_023125174.2
digestion (digestive enzyme: protease),digestion,digestion,cela2,Chymotrypsin Like Elastase 2A,111570887,XP_023129650.1
digestion (digestive enzyme: protease),digestion,digestion,cela2,Chymotrypsin Like Elastase 2A,111570890,XP_023129652.3
digestion (digestive enzyme: protease),digestion,digestion,cela2,Chymotrypsin Like Elastase 2A,111570891,XP_023129653.2
digestion (digestive enzyme: protease),digestion,digestion,cela2,Chymotrypsin Like Elastase 2A,111570891,XP_054868600.1
digestion (digestive enzyme: protease),digestion,digestion,cela2,Chymotrypsin Like Elastase 2A,111570889,XP_023129651.1
digestion (digestive enzyme: protease),digestion,digestion,cela2,Chymotrypsin Like Elastase 2A,111570764,XP_023129462.1
digestion (digestive enzyme: protease),digestion,digestion,cela3,Chymotrypsin Like Elastase 3A,111581053,XP_023144814.1
digestion (digestive enzyme: protease),digestion,digestion,cela3,Chymotrypsin Like Elastase 3B,111568709,XP_023126253.2
digestion (digestive enzyme: protease),digestion,digestion,cpa1,Carboxypeptidase A1,111572782,XP_023132370.2
digestion (digestive enzyme: protease),digestion,digestion,cpa1,Carboxypeptidase A1,111572782,XP_023132371.2
digestion (digestive enzyme: protease),digestion,digestion,cpa4,Carboxypeptidase A4,111572797,XP_023132385.1
digestion (digestive enzyme: protease),digestion,digestion,cpa5,Carboxypeptidase A5,111572798,XP_023132387.2
digestion (digestive enzyme: protease),digestion,digestion,cpa6,Carboxypeptidase A6,111572477,XP_023131923.2
digestion (digestive enzyme: protease),digestion,digestion,cpb1,Carboxypeptidase B1,111579237,XP_023142209.1
digestion (digestive enzyme: protease),digestion,digestion,cpo,Carboxypeptidase O,111566537,XP_023122954.1
digestion (digestive enzyme: protease),digestion,digestion,cpo,Carboxypeptidase O,111575680,XP_023136724.2
digestion (digestive enzyme: protease),digestion,digestion,enpep,Glutamyl Aminopeptidase,111565005,XP_023120693.2
digestion (digestive enzyme: protease),digestion,digestion,lap3,Leucine Aminopeptidase 3,111574712,XP_023135204.1
digestion (digestive enzyme: protease),digestion,digestion,lgmn,Legumain,111579380,XP_023142416.2
digestion (digestive enzyme: protease),digestion,digestion,npepl1,Aminopeptidase Like 1,111579750,XP_023142920.2
digestion (digestive enzyme: protease),digestion,digestion,Pac2,C6-astacin pactacin 2,111583527,XP_035814231.2
digestion (digestive enzyme: protease),digestion,digestion,Pac3a,C6-astacin pactacin 3a,111575958,XP_023137183.2
digestion (digestive enzyme: protease),digestion,digestion,Pac3a,C6-astacin pactacin 3a,111575958,XP_054865299.1
digestion (digestive enzyme: protease),digestion,digestion,Pac3b,C6-astacin pactacin 3b,111570184,XP_054865141.1
digestion (digestive enzyme: protease),digestion,digestion,Pac3b,C6-astacin pactacin 3b,111570184,XP_054865142.1
digestion (digestive enzyme: protease),digestion,digestion,pgA2,Propepsinogen A2,111583420,XP_023148276.1
digestion (digestive enzyme: protease),digestion,digestion,pgA3,Propepsinogen A3,111575526,XP_023136485.2
digestion (digestive enzyme: protease),digestion,digestion,pgC,Progastricsin,111583223,XP_023147971.2
digestion (digestive enzyme: protease),digestion,digestion,prss,Serine Protease (trypsinogen),111564204,XP_023119411.1
digestion (digestive enzyme: protease),digestion,digestion,prss,Serine Protease (trypsinogen),111564202,XP_023119408.2
digestion (digestive enzyme: protease),digestion,digestion,prss,Serine Protease (trypsinogen),111577097,XP_023138959.1
digestion (digestive enzyme: protease),digestion,digestion,prss,Serine Protease (trypsinogen),111577097,XP_054869483.1
digestion (digestive enzyme: protease),digestion,digestion,prss,Serine Protease (trypsinogen),111577098,XP_023138960.1
digestion (digestive enzyme: protease),digestion,digestion,prss,Serine Protease (trypsinogen),129349642,XP_054869484.1
digestion (digestive enzyme: protease),digestion,digestion,prss,Serine Protease (trypsinogen),129349642,XP_054869486.1
digestion (digestive enzyme: protease),digestion,digestion,prss,Serine Protease (trypsinogen),111587887,XP_023153782.1
digestion (digestive enzyme: protease),digestion,digestion,prss,Serine Protease (trypsinogen),111587887,XP_035798695.1
digestion (digestive enzyme: protease),digestion,digestion,prss,Serine Protease (trypsinogen),111562745,XP_035799967.2
digestion (digestive enzyme: protease),digestion,digestion,prss,Serine Protease (trypsinogen),111588531,XP_023154725.1
digestion (digestive enzyme: protease),digestion,digestion,rnpepl1,Arginyl Aminopeptidase Like 1,111573566,XP_023133564.2
digestion (digestive enzyme: protease),digestion,digestion,tmprss2,Transmembrane Serine Protease 2,111583614,XP_054872927.1
digestion (digestive enzyme: protease),digestion,digestion,tmprss2,Transmembrane Serine Protease 2,111583614,XP_023148557.2
digestion (digestive enzyme: protease),digestion,digestion,tmprss9,Transmembrane Serine Protease 9,111562918,XP_054873503.1
digestion (digestive enzyme: protease),digestion,digestion,tmprss13,Transmembrane Serine Protease 13,111587870,XP_023153761.1
digestion (digestive enzyme: protease),digestion,digestion,tmprss15,Transmembrane Serine Protease 15/Enteropeptidase,111575727,XP_023136776.1
